,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,median,Std,Iterations
0,1.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.0266151,0.004341871544264817,40.89496780434072
1,2.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1485.0,0.03324883333333333,0.019817952112586752,545.9298756424387
2,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1474.0,0.05739053333333333,0.029539378275078184,407.0936361185682
3,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1480.0,0.04397316666666666,0.007325956532030162,42.650617694407856
