,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,median,Std,Iterations
0,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.02160573333333333,0.007258425605547277,173.42790217793294
1,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.011512533333333333,0.0016350066061942533,30.99340962942506
2,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009804499999999997,0.0008340242595495898,11.119329474659809
3,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.012471733333333334,0.008333931964889222,686.1489495678895
