,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,median,Std,Iterations
0,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015845500000000002,8.484528403053534e-05,0.04405707436658015
1,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.0092981,0.00010265633064853904,0.1873075064244702
2,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1042.0,0.0066881,0.00020188745489614862,1.4001845596984883
3,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1041.0,0.0075004,0.00034831952125726276,3.3140489077782656
