,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,median,Std,Iterations
0,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1474.0,0.0219606,9.082975528120942e-05,0.02628693910319741
1,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1483.0,0.0194619,0.00017031633966110106,0.11768315160504696
2,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1487.0,0.020344400000000002,0.0007415499084125539,2.0415646302669637
3,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1479.0,0.022141499999999995,0.00030108959537726446,0.28415123735583103
