,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,median,Std,Iterations
0,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3348.0,0.050622299999999995,0.0006677534558336463,0.26737492526879725
1,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3337.0,0.0693697,0.001985477835014367,1.2588169663206878
2,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3348.0,0.0707712,0.002232528999438381,1.5291610684373813
3,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3309.0,0.0809608,0.0011881278270175044,0.3309397140640647
