,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
0,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3316.0,0.092571
1,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3316.0,0.09391
2,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3316.0,0.095603
3,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3316.0,0.091601
4,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.101373
5,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.092389
6,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.069766
7,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.060673
8,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.078338
9,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.094431
10,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.091598
11,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.099964
12,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.096672
13,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.089632
14,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3315.0,0.098458
15,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.077414
16,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.062981
17,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.064438
18,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.07123
19,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.084573
20,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.086305
21,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.095694
22,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.078092
23,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.072918
24,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.061099
25,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.082854
26,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3298.0,0.064602
27,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3298.0,0.071528
28,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3298.0,0.068722
29,1.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3298.0,0.064699
30,2.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3343.0,0.086346
31,2.0,1000.0,10000.0,0.5,0.25,0.25,30.0,3335.0,0.080106
