,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
65,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1484.0,0.042107
66,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.042259
67,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1476.0,0.044112
68,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1478.0,0.036562
69,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1463.0,0.036723
70,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1483.0,0.037393
71,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1474.0,0.033912
72,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1478.0,0.041077
73,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1477.0,0.036462
74,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1486.0,0.045323
75,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1476.0,0.033817
76,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1484.0,0.037528
77,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1480.0,0.038371
78,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1485.0,0.035615
79,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1483.0,0.039155
80,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1470.0,0.036268
81,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1480.0,0.036535
82,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.035181
83,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1480.0,0.034384
84,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1478.0,0.033601
85,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1477.0,0.035816
86,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1480.0,0.044845
87,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1472.0,0.03662
88,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1487.0,0.039587
89,4.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.035969
90,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1476.0,0.039951
91,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1467.0,0.039696
92,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1482.0,0.038207
93,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1477.0,0.03872
94,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1465.0,0.050131
95,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1477.0,0.057905
96,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1473.0,0.052192
97,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1472.0,0.040534
98,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1480.0,0.044867
99,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1476.0,0.041663
100,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1468.0,0.041908
101,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1472.0,0.041835
102,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1473.0,0.042772
103,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1462.0,0.043421
104,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1472.0,0.041251
105,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1474.0,0.042242
106,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1475.0,0.042988
107,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1478.0,0.043575
108,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1460.0,0.040083
109,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.037882
110,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1471.0,0.045685
111,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1472.0,0.041122
112,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1469.0,0.058097
113,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1474.0,0.043302
114,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1472.0,0.045287
115,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1476.0,0.085539
116,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1479.0,0.09466
117,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1474.0,0.073693
118,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1471.0,0.109767
119,8.0,1000.0,10000.0,0.9,0.05,0.05,30.0,1475.0,0.085752
