,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
0,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.032247
1,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.025928
2,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.02504
3,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.024646
4,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.02512
5,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.021283
6,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.019454
7,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.020239
8,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.019295
9,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.017301
10,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.016936
11,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.017395
12,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.016769
13,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.017362
14,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.016936
15,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.016815
16,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.017723
17,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.01897
18,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.022405
19,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.017976
20,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.019357
21,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.021323
22,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.019977
23,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.01844
24,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.018261
25,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.019288
26,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.020179
27,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.017941
28,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.018514
29,1.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.021584
30,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.01187
31,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.011477
32,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.010386
33,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.011303
34,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.010608
35,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.011058
36,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.010278
37,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.01049
38,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.010236
39,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.010177
