,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
40,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.010646
41,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.010614
42,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.011666
43,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.011603
44,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.010702
45,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.009946
46,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.0102
47,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.009876
48,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.010544
49,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.011159
50,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.012989
51,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.01005
52,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.010832
53,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.009736
54,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.010414
55,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.010279
56,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1047.0,0.010508
57,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.010562
58,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1048.0,0.011266
59,2.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.010785
60,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.007309
61,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.007559
62,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.008109
63,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1042.0,0.008717
64,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.008259
65,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.00746
66,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.008273
67,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.007955
68,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1042.0,0.007653
69,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1041.0,0.007946
70,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.007454
71,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.007108
72,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.00755
73,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.007309
74,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.007918
75,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.008457
76,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.007518
77,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.008331
78,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.008156
79,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.007224
80,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.007787
81,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.007707
82,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.008272
83,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009163
84,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009047
85,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.008229
86,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1043.0,0.01808
87,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.009577
88,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.009668
89,4.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.008411
90,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.009235
91,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.010264
92,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009662
93,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009709
94,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009504
95,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.009952
96,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.008972
97,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.00995
98,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.010489
99,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.010514
100,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1043.0,0.009428
101,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1042.0,0.009741
102,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1041.0,0.009481
103,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009709
104,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1043.0,0.009468
105,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009926
106,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.00945
107,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.009506
108,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.008832
109,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.009376
110,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1043.0,0.010742
111,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.010367
112,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1042.0,0.009695
113,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009657
114,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.009293
115,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1044.0,0.00938
116,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1046.0,0.009899
117,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.011013
118,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.009346
119,8.0,1000.0,10000.0,0.99,0.005,0.005,30.0,1045.0,0.00893
