,Method,Average time for 1 thread,Std time for 1 thread,Average time for 2 thread,Std time for 2 thread,Average time for 4 thread,Std time for 4 thread,Average time for 8 thread,Std time for 8 thread
1,Serial,0.023514399999999998,0.0019849554263117455,0.021878500000000002,0.0004818813247171041,0.022385900000000004,0.0015337525839876813,0.024143900000000003,0.002971079506397184
2,mutex,0.021808799999999996,3.762623198426001e-05,0.036684299999999996,0.0009809140918324885,0.036854700000000004,0.0008039860488010135,0.039127800000000004,0.0005120537732178792
3,read write lock,0.023328999999999996,0.00032883193951385584,0.019710000000000002,0.00022641554716935875,0.020672299999999998,0.00042310257490222046,0.0237361,0.0029117814497504973
