,Method,Average time for 1 thread,Std time for 1 thread,Average time for 2 thread,Std time for 2 thread,Average time for 4 thread,Std time for 4 thread,Average time for 8 thread,Std time for 8 thread
1,Serial,0.016242700000000002,0.00021497547663758176,0.016045200000000003,0.00017751294162523615,0.0158857,0.00010575133306225704,0.0158702,8.972773632866607e-05
2,mutex,0.0157061,0.00030725467178439056,0.029110599999999997,0.00028170441561640097,0.03788590000000001,0.018939529411319128,0.0305109,0.00021485315398610586
3,read write lock,0.0158489,2.3703961225453213e-05,0.0092785,4.7577422283170354e-05,0.006683400000000001,0.0002324202133110534,0.0073712,0.0002763873288621524
