,Method,Average time for 1 thread,Std time for 1 thread,Average time for 2 thread,Std time for 2 thread,Average time for 4 thread,Std time for 4 thread,Average time for 8 thread,Std time for 8 thread
1,Serial,0.050925599999999994,0.0014050422057717696,0.05026699999999999,0.0012357233599079628,0.050019499999999995,0.0008001243306164644,0.0501061,0.00041686354015566207
2,mutex,0.0519425,0.0019528770371485826,0.06553640000000001,0.0008516799346650783,0.0709848,0.00214806413105175,0.07778639999999999,0.0019027340095533873
3,read write lock,0.0505471,0.000889257424296625,0.06804550000000001,0.002246974323643042,0.07049330000000001,0.001932544497115999,0.0820091,0.0025386123265367707
