,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
0,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.050199
1,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.049968
2,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.050052
3,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.050323
4,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.050022
5,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.050569
6,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.052593
7,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.050061
8,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.049978
9,1.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3306.0,0.051706
10,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3320.0,0.071858
11,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3310.0,0.066181
12,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3319.0,0.06771
13,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3311.0,0.0669
14,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3322.0,0.067497
15,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3327.0,0.066844
16,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3337.0,0.067227
17,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3299.0,0.072401
18,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3307.0,0.065899
19,2.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3308.0,0.067938
20,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3341.0,0.068939
21,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3329.0,0.073477
22,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3312.0,0.068386
23,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3326.0,0.068126
24,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3307.0,0.072606
25,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3332.0,0.071667
26,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3351.0,0.071001
27,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3329.0,0.072185
28,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3323.0,0.069667
29,4.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3334.0,0.068879
30,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3315.0,0.081774
31,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3339.0,0.082246
32,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3316.0,0.083718
33,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3312.0,0.084917
34,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3310.0,0.077006
35,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3327.0,0.081453
36,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3327.0,0.082879
37,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3351.0,0.080586
38,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3341.0,0.079817
39,8.0,1000.0,10000.0,0.5,0.25,0.25,10.0,3330.0,0.085695
