,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
0,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023178
1,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023228
2,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.024258
3,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023204
4,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023233
5,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023229
6,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023328
7,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023197
8,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023217
9,1.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.023218
10,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1484.0,0.019706
11,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1489.0,0.019819
12,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1476.0,0.019817
13,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1487.0,0.019514
14,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1476.0,0.019393
15,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1486.0,0.019916
16,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1477.0,0.020164
17,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1476.0,0.019524
18,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1481.0,0.019646
19,2.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1483.0,0.019601
20,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1478.0,0.02027
21,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1482.0,0.020165
22,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1483.0,0.02083
23,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1479.0,0.02062
24,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1485.0,0.020538
25,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1484.0,0.021108
26,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1483.0,0.02053
27,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1487.0,0.021177
28,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1479.0,0.021322
29,4.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1483.0,0.020163
30,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1467.0,0.022478
31,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1481.0,0.02277
32,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1478.0,0.023089
33,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1488.0,0.022854
34,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1475.0,0.031984
35,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1481.0,0.023319
36,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1486.0,0.023076
37,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1479.0,0.022643
38,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1475.0,0.022747
39,8.0,1000.0,10000.0,0.9,0.05,0.05,10.0,1477.0,0.022401
