,number of threads,n,m,fraction of member operations,fraction of insert operations,fraction of delete operations,number of iterations,remaining nodes,Execution Time
0,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015838
1,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015866
2,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015835
3,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015851
4,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015874
5,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015843
6,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015852
7,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015811
8,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015827
9,1.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.015892
10,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1047.0,0.00928
11,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.009356
12,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1047.0,0.009305
13,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1048.0,0.009308
14,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1044.0,0.009253
15,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1048.0,0.009275
16,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1047.0,0.009306
17,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1048.0,0.00926
18,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1047.0,0.009268
19,2.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.009174
20,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.007006
21,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1041.0,0.00636
22,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1043.0,0.006934
23,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1042.0,0.006416
24,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.006927
25,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.006437
26,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1044.0,0.006611
27,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.006656
28,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1044.0,0.006673
29,4.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.006814
30,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.007886
31,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.007574
32,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.007118
33,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.007252
34,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1044.0,0.00748
35,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.007297
36,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.007657
37,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1045.0,0.007343
38,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1044.0,0.007059
39,8.0,1000.0,10000.0,0.99,0.005,0.005,10.0,1046.0,0.007046
