,Method,Average time for 1 thread,Std time for 1 thread,Average time for 2 thread,Std time for 2 thread,Average time for 4 thread,Std time for 4 thread,Average time for 8 thread,Std time for 8 thread
1,Serial,0.09069676666666666,0.013020295485505888,0.05649273333333334,0.009912112162029023,0.05403666666666666,0.00345823472342449,0.05334016666666667,0.0023026406442998456
2,mutex,0.06163146666666666,0.018413108454227018,0.07052349999999999,0.004740213713718417,0.0709794,0.0023893757892112667,0.09257246666666666,0.01803470782863886
3,read write lock,0.08180426666666668,0.013374884190109855,0.10103023333333333,0.026627971512578882,0.11774836666666667,0.020874077126795388,0.14876279999999997,0.07237481810132582
