,Method,Average time for 1 thread,Std time for 1 thread,Average time for 2 thread,Std time for 2 thread,Average time for 4 thread,Std time for 4 thread,Average time for 8 thread,Std time for 8 thread
1,Serial,0.027958166666666662,0.005466081809722088,0.0275551,0.004951224762099534,0.024670433333333335,0.0016610967852250683,0.026046200000000002,0.001813175598700837
2,mutex,0.029013399999999998,0.0017405287266448262,0.03911623333333334,0.001591176027526406,0.03961476666666667,0.0014105135939970859,0.045248500000000004,0.0024851917951378903
3,read write lock,0.031590233333333335,0.0047119691958138745,0.0314757,0.0056866510728317,0.0380366,0.0033820713261509465,0.0514909,0.01880835412394514
