,Method,Average time for 1 thread,Std time for 1 thread,Average time for 2 thread,Std time for 2 thread,Average time for 4 thread,Std time for 4 thread,Average time for 8 thread,Std time for 8 thread
1,Serial,0.017785566666666665,0.0035103927345205566,0.017546566666666666,0.003748142617565292,0.01773126666666667,0.0014975281687140158,0.0175696,0.001217950301913438
2,mutex,0.018869133333333333,0.0011017801186648164,0.031131366666666663,0.0013479047721232545,0.03165923333333333,0.0010882333257460778,0.045970300000000006,0.03199691954370306
3,read write lock,0.020156799999999996,0.0034924830451542144,0.010742,0.0006941183442771621,0.008406866666666667,0.0019431480276786077,0.009716333333333334,0.0005244658585471596
